clock,period,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,shotValue
PT08M39.00S,2,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,SUB: Cisse FOR Powell,Substitution,,0
PT08M39.00S,2,CHI,1630200,Jones,T. Jones,0,0,0,,0,,,0,v,SUB: Olbrich FOR Jones,Substitution,,0
PT08M39.00S,2,DAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,h,MISS Christie Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0
PT08M35.00S,2,CHI,1642530,Kawamura,Y. Kawamura,0,0,0,,0,,,0,v,Kawamura REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT08M28.00S,2,CHI,1642265,Dillingham,R. Dillingham,-134,241,28,Missed,1,,,0,v,MISS Dillingham 28' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT08M25.00S,2,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:2 Def:1),Rebound,Unknown,0
PT08M21.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,Gueye Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0
PT08M21.00S,2,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,,,0,h,Poulakidas STEAL (1 STL),,,0
PT08M17.00S,2,DAL,1642948,Nembhard,R. Nembhard,5,1,1,Made,1,56,40,96,h,Nembhard 1' Running Layup (6 PTS) (Poulakidas 2 AST),Made Shot,Running Layup Shot,2
PT08M10.00S,2,CHI,1642530,Kawamura,Y. Kawamura,230,75,24,Missed,1,,,0,v,MISS Kawamura 24' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT08M10.00S,2,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:0 Def:4),Rebound,Unknown,0
PT07M57.00S,2,DAL,1641890,Smith,T. Smith,227,4,0,Made,1,59,40,99,h,Smith 3PT Jump Shot (13 PTS) (Poulakidas 3 AST),Made Shot,Jump Shot,3
PT07M36.00S,2,CHI,1642265,Dillingham,R. Dillingham,-57,138,15,Made,1,59,42,101,v,Dillingham 15' Pullup Jump Shot (15 PTS) (Olbrich 4 AST),Made Shot,Pullup Jump shot,2
PT07M21.00S,2,DAL,1631108,Christie,M. Christie,4,3,1,Made,1,61,42,103,h,Christie 1' Driving Layup (12 PTS) (Nembhard 8 AST),Made Shot,Driving Layup Shot,2
PT07M12.00S,2,CHI,1642265,Dillingham,R. Dillingham,-92,104,14,Made,1,61,44,105,v,Dillingham 14' Step Back Jump Shot (17 PTS),Made Shot,Step Back Jump shot,2
PT06M59.00S,2,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller S.FOUL (P1.T2) (B.Taylor),Foul,Shooting,0
PT06M59.00S,2,,1610612742,,,0,0,0,,0,,,0,h,MAVERICKS Timeout: Regular (Full 2 Short 0),Timeout,Regular,0
PT06M59.00S,2,CHI,1642530,Kawamura,Y. Kawamura,0,0,0,,0,,,0,v,SUB: Williams FOR Kawamura,Substitution,,0
PT06M59.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,SUB: McClung FOR Gueye,Substitution,,0
PT06M59.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,62,44,106,h,Cisse Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0
PT06M59.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,63,44,107,h,Cisse Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0
PT06M50.00S,2,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham Bad Pass Turnover (P3.T6),Turnover,Bad Pass,0
PT06M50.00S,2,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith STEAL (1 STL),,,0
PT06M47.00S,2,DAL,1641890,Smith,T. Smith,-11,-5,1,Made,1,65,44,109,h,Smith 1' Running Dunk (15 PTS),Made Shot,Running Dunk Shot,2
PT06M36.00S,2,CHI,1642265,Dillingham,R. Dillingham,-186,179,26,Missed,1,,,0,v,MISS Dillingham 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,3
PT06M33.00S,2,DAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,h,Christie REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT06M24.00S,2,DAL,1641890,Smith,T. Smith,-183,174,25,Missed,1,,,0,h,MISS Smith 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT06M20.00S,2,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller REBOUND (Off:0 Def:3),Rebound,Unknown,0
PT06M10.00S,2,CHI,1630644,McClung,M. McClung,-200,37,20,Missed,1,,,0,v,MISS McClung 20' Step Back Jump Shot,Missed Shot,Step Back Jump shot,2
