clock,period,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,shotValue
PT12M00.00S,1,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:41 PM EST),period,start,0
PT12M00.00S,1,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Jump Ball Powell vs. Olbrich: Tip to Sexton,Jump Ball,,0
PT11M54.00S,1,CHI,1631159,Miller,L. Miller,4,16,2,Made,1,0,2,2,v,Miller 2' Driving Dunk (2 PTS) (Sexton 1 AST),Made Shot,Driving Dunk Shot,2
PT11M37.00S,1,DAL,203939,Powell,D. Powell,-10,8,1,Made,1,2,2,4,h,Powell 1' Driving Hook Shot (2 PTS) (Middleton 1 AST),Made Shot,Driving Hook Shot,2
PT11M22.00S,1,CHI,1630172,Williams,P. Williams,105,232,25,Missed,1,,,0,v,MISS Williams 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT11M19.00S,1,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT11M12.00S,1,DAL,1642843,Flagg,C. Flagg,-136,126,19,Missed,1,,,0,h,MISS Flagg 19' Step Back Jump Shot,Missed Shot,Step Back Jump shot,2
PT11M09.00S,1,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Sexton REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT11M00.00S,1,CHI,1630200,Jones,T. Jones,-113,41,12,Made,1,2,4,6,v,Jones 12' Driving Floating Jump Shot (2 PTS) (Olbrich 1 AST),Made Shot,Driving Floating Jump Shot,2
PT10M41.00S,1,DAL,1631108,Christie,M. Christie,125,218,25,Made,1,5,4,9,h,Christie 25' 3PT Jump Shot (3 PTS) (Powell 1 AST),Made Shot,Jump Shot,3
PT10M28.00S,1,CHI,1629012,Sexton,C. Sexton,-199,-5,20,Missed,1,,,0,v,MISS Sexton 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,2
PT10M25.00S,1,DAL,203114,Middleton,K. Middleton,0,0,0,,0,,,0,h,Middleton REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT10M24.00S,1,DAL,203114,Middleton,K. Middleton,0,0,0,,0,,,0,h,Middleton Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0
PT10M24.00S,1,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Sexton STEAL (1 STL),,,0
PT10M20.00S,1,CHI,1629012,Sexton,C. Sexton,20,31,4,Missed,1,,,0,v,MISS Sexton 4' Driving Layup,Missed Shot,Driving Layup Shot,2
PT10M18.00S,1,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:0 Def:2),Rebound,Unknown,0
PT10M15.00S,1,DAL,1631108,Christie,M. Christie,225,9,0,Made,1,8,4,12,h,Christie 3PT Running Jump Shot (6 PTS) (Nembhard 1 AST),Made Shot,Running Jump Shot,3
PT09M59.00S,1,CHI,1630172,Williams,P. Williams,54,256,26,Missed,1,,,0,v,MISS Williams 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,3
PT09M59.00S,1,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT09M52.00S,1,DAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,h,Christie Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0
PT09M40.00S,1,CHI,1642950,Olbrich,L. Olbrich,31,13,3,Missed,1,,,0,v,MISS Olbrich 3' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,2
PT09M38.00S,1,DAL,1642843,Flagg,C. Flagg,0,0,0,,0,,,0,h,Flagg REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT09M33.00S,1,DAL,203114,Middleton,K. Middleton,-230,8,0,Made,1,11,4,15,h,Middleton 3PT Running Jump Shot (3 PTS) (Nembhard 2 AST),Made Shot,Running Jump Shot,3
PT09M20.00S,1,CHI,1630200,Jones,T. Jones,-37,91,10,Missed,1,,,0,v,MISS Jones 10' Driving Bank Hook Shot,Missed Shot,Driving Bank Hook Shot,2
PT09M20.00S,1,DAL,1642843,Flagg,C. Flagg,0,0,0,,0,,,0,h,Flagg REBOUND (Off:0 Def:2),Rebound,Unknown,0
PT09M14.00S,1,DAL,1642843,Flagg,C. Flagg,2,40,4,Made,1,13,4,17,h,Flagg 4' Running Pull-Up Jump Shot (2 PTS),Made Shot,Running Pull-Up Jump Shot,2
PT09M14.00S,1,,1610612741,,,0,0,0,,0,,,0,v,Bulls Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0
PT09M14.00S,1,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,SUB: Gueye FOR Olbrich,Substitution,,0
PT09M00.00S,1,CHI,1629012,Sexton,C. Sexton,43,30,5,Missed,1,,,0,v,MISS Sexton 5' Driving Layup,Missed Shot,Driving Layup Shot,2
PT09M00.00S,1,DAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,h,Christie BLOCK (1 BLK),,,2
PT08M57.00S,1,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:0 Def:2),Rebound,Unknown,0
PT08M43.00S,1,DAL,203114,Middleton,K. Middleton,-227,6,0,Made,1,16,4,20,h,Middleton 3PT Jump Shot (6 PTS) (Christie 1 AST),Made Shot,Jump Shot,3
PT08M21.00S,1,CHI,1630172,Williams,P. Williams,25,14,3,Missed,1,,,0,v,MISS Williams 3' Driving Layup,Missed Shot,Driving Layup Shot,2
PT08M19.00S,1,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:0 Def:3),Rebound,Unknown,0
PT08M10.00S,1,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Sexton S.FOUL (P1.T1) (M.Kogut),Foul,Shooting,0
PT08M10.00S,1,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,17,4,21,h,Nembhard Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0
PT08M10.00S,1,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,SUB: Cisse FOR Powell,Substitution,,0
PT08M10.00S,1,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,SUB: Dillingham FOR Sexton,Substitution,,0
PT08M10.00S,1,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,18,4,22,h,Nembhard Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0
PT08M00.00S,1,CHI,1630200,Jones,T. Jones,7,256,26,Missed,1,,,0,v,MISS Jones 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,3
PT07M58.00S,1,DAL,1642843,Flagg,C. Flagg,0,0,0,,0,,,0,h,Flagg REBOUND (Off:0 Def:3),Rebound,Unknown,0
PT07M50.00S,1,DAL,1642843,Flagg,C. Flagg,130,227,26,Missed,1,,,0,h,MISS Flagg 26' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT07M47.00S,1,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT07M40.00S,1,CHI,1630172,Williams,P. Williams,-194,153,25,Made,1,18,7,25,v,Williams 25' 3PT Jump Shot (3 PTS) (Dillingham 1 AST),Made Shot,Jump Shot,3
PT07M23.00S,1,DAL,1631108,Christie,M. Christie,-207,146,25,Missed,1,,,0,h,MISS Christie 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT07M17.00S,1,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT07M15.00S,1,CHI,1642265,Dillingham,R. Dillingham,18,5,2,Missed,1,,,0,v,MISS Dillingham 2' Running Reverse Layup,Missed Shot,Running Reverse Layup Shot,2
PT07M15.00S,1,DAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,h,Christie BLOCK (2 BLK),,,2
PT07M13.00S,1,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:0 Def:3),Rebound,Unknown,0
PT07M01.00S,1,DAL,203114,Middleton,K. Middleton,-238,-2,24,Missed,1,,,0,h,MISS Middleton 24' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT06M58.00S,1,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:1 Def:0),Rebound,Unknown,0
PT06M54.00S,1,DAL,1642948,Nembhard,R. Nembhard,-8,124,12,Made,1,20,7,27,h,Nembhard 12' Driving Floating Jump Shot (4 PTS) (Cisse 1 AST),Made Shot,Driving Floating Jump Shot,2
PT06M43.00S,1,CHI,1630200,Jones,T. Jones,4,4,1,Made,1,20,9,29,v,Jones 1' Driving Reverse Layup (4 PTS),Made Shot,Driving Reverse Layup Shot,2
PT06M29.00S,1,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham S.FOUL (P1.T2) (J.Butler),Foul,Shooting,0
PT06M29.00S,1,DAL,203114,Middleton,K. Middleton,0,0,0,,0,21,9,30,h,Middleton Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0
PT06M29.00S,1,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,SUB: Sexton FOR Miller,Substitution,,0
PT06M29.00S,1,CHI,1630200,Jones,T. Jones,0,0,0,,0,,,0,v,SUB: McClung FOR Jones,Substitution,,0
PT06M29.00S,1,DAL,203114,Middleton,K. Middleton,0,0,0,,0,22,9,31,h,Middleton Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0
PT06M20.00S,1,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0
PT06M20.00S,1,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard STEAL (1 STL),,,0
PT06M18.00S,1,DAL,1631108,Christie,M. Christie,-11,0,1,Made,1,24,9,33,h,Christie 1' Running Dunk (8 PTS) (Nembhard 3 AST),Made Shot,Running Dunk Shot,2
PT06M18.00S,1,,1610612741,,,0,0,0,,0,,,0,v,Bulls Timeout: Regular (Reg.2 Short 0),Timeout,Regular,0
PT06M18.00S,1,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,SUB: Thompson FOR Nembhard,Substitution,,0
PT06M18.00S,1,DAL,203114,Middleton,K. Middleton,0,0,0,,0,,,0,h,SUB: Johnson FOR Middleton,Substitution,,0
PT06M05.00S,1,CHI,1630172,Williams,P. Williams,-12,6,1,Made,1,24,11,35,v,Williams 1' Cutting Dunk Shot (5 PTS) (Gueye 1 AST),Made Shot,Cutting Dunk Shot,2
PT05M51.00S,1,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,Gueye S.FOUL (P1.T3) (J.Butler),Foul,Shooting,0
PT05M51.00S,1,DAL,1642843,Flagg,C. Flagg,0,0,0,,0,25,11,36,h,Flagg Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0
PT05M51.00S,1,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,SUB: Miller FOR Gueye,Substitution,,0
PT05M51.00S,1,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,SUB: Olbrich FOR Williams,Substitution,,0
PT05M51.00S,1,DAL,1642843,Flagg,C. Flagg,0,0,0,,0,26,11,37,h,Flagg Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0
PT05M41.00S,1,CHI,1642265,Dillingham,R. Dillingham,11,94,9,Made,1,26,13,39,v,Dillingham 9' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,2
PT05M24.00S,1,DAL,1631108,Christie,M. Christie,-173,173,24,Missed,1,,,0,h,MISS Christie 24' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT05M21.00S,1,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham REBOUND (Off:0 Def:2),Rebound,Unknown,0
PT05M09.00S,1,CHI,1629012,Sexton,C. Sexton,-43,100,11,Missed,1,,,0,v,MISS Sexton 11' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,2
PT05M06.00S,1,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:1 Def:1),Rebound,Unknown,0
PT04M57.00S,1,DAL,1642843,Flagg,C. Flagg,-42,5,4,Made,1,28,13,41,h,Flagg 4' Driving Layup (6 PTS),Made Shot,Driving Layup Shot,2
PT04M48.00S,1,CHI,1642265,Dillingham,R. Dillingham,6,31,3,Made,1,28,15,43,v,Dillingham 3' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,2
PT04M33.00S,1,DAL,202691,Thompson,K. Thompson,224,13,0,Made,1,31,15,46,h,Thompson 3PT Jump Shot (3 PTS) (Flagg 1 AST),Made Shot,Jump Shot,3
PT04M28.00S,1,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0
PT04M28.00S,1,DAL,1642843,Flagg,C. Flagg,0,0,0,,0,,,0,h,Flagg STEAL (1 STL),,,0
PT04M25.00S,1,DAL,1642843,Flagg,C. Flagg,-2,20,2,Made,1,33,15,48,h,Flagg 2' Reverse Layup (8 PTS),Made Shot,Reverse Layup Shot,2
PT04M13.00S,1,CHI,1631159,Miller,L. Miller,-121,215,25,Missed,1,,,0,v,MISS Miller 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,3
PT04M13.00S,1,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:1 Def:0),Rebound,Unknown,0
PT04M08.00S,1,CHI,1631159,Miller,L. Miller,-6,28,3,Made,1,33,17,50,v,Miller 3' Floating Jump Shot (4 PTS) (Olbrich 2 AST),Made Shot,Floating Jump shot,2
